date,new_cases,new_deaths,cum_cases,cum_deaths,accumulated_vaccine_count
2020-01-20,1,0,1,0,0.0
2020-01-21,0,0,1,0,0.0
2020-01-22,0,0,1,0,0.0
2020-01-23,0,0,1,0,0.0
2020-01-24,1,0,2,0,0.0
2020-01-25,0,0,2,0,0.0
2020-01-26,1,0,3,0,0.0
2020-01-27,1,0,4,0,0.0
2020-01-28,0,0,4,0,0.0
2020-01-29,0,0,4,0,0.0
2020-01-30,3,0,7,0,0.0
2020-01-31,4,0,11,0,0.0
2020-02-01,1,0,12,0,0.0
2020-02-02,3,0,15,0,0.0
2020-02-03,0,0,15,0,0.0
2020-02-04,1,0,16,0,0.0
2020-02-05,5,0,21,0,0.0
2020-02-06,3,0,24,0,0.0
2020-02-07,0,0,24,0,0.0
2020-02-08,0,0,24,0,0.0
2020-02-09,3,0,27,0,0.0
2020-02-10,1,0,28,0,0.0
2020-02-11,0,0,28,0,0.0
2020-02-12,0,0,28,0,0.0
2020-02-13,0,0,28,0,0.0
2020-02-14,0,0,28,0,0.0
2020-02-15,0,0,28,0,0.0
2020-02-16,2,0,30,0,0.0
2020-02-17,0,0,30,0,0.0
2020-02-18,2,0,32,0,0.0
2020-02-19,34,0,66,0,0.0
2020-02-20,16,1,82,1,0.0
2020-02-21,74,0,156,1,0.0
2020-02-22,190,2,346,3,0.0
2020-02-23,210,0,556,3,0.0
2020-02-24,207,4,763,7,0.0
2020-02-25,130,1,893,8,0.0
2020-02-26,253,2,1146,10,0.0
2020-02-27,449,1,1595,11,0.0
2020-02-28,427,1,2022,12,0.0
2020-02-29,909,3,2931,15,0.0
2020-03-01,595,1,3526,16,0.0
2020-03-02,686,6,4212,22,0.0
2020-03-03,600,5,4812,27,0.0
2020-03-04,516,4,5328,31,0.0
2020-03-05,438,3,5766,34,0.0
2020-03-06,518,7,6284,41,0.0
2020-03-07,483,2,6767,43,0.0
2020-03-08,367,6,7134,49,0.0
2020-03-09,248,1,7382,50,0.0
2020-03-10,131,3,7513,53,0.0
2020-03-11,242,6,7755,59,0.0
2020-03-12,114,6,7869,65,0.0
