date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
2020-01-01,0,2,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0
2020-02-01,7,74,59,472,9,2055,13,75,67,1,17,5,2,4,2,48,10
2020-03-01,29,400,37,828,11,4629,23,44,376,45,22,58,7,8,7,80,34
2020-04-01,17,200,21,65,10,168,4,18,183,0,4,29,6,5,4,15,1
2020-05-01,4,164,6,14,2,31,6,10,228,1,9,113,4,3,2,3,15
2020-06-01,8,367,11,10,12,23,71,7,451,3,3,135,5,6,4,21,4
2020-07-01,9,339,25,12,160,34,49,17,288,0,4,42,14,12,7,23,9
2020-08-01,115,1714,77,54,170,107,90,130,2268,17,30,333,104,48,19,142,55
2020-09-01,35,1123,55,96,121,85,104,120,1425,9,58,200,27,41,14,152,43
2020-10-01,55,1020,25,36,16,42,82,171,718,6,16,129,16,38,0,57,18
2020-11-01,373,1874,309,117,185,58,52,217,2800,18,35,364,239,168,21,358,138
2020-12-01,555,7173,700,720,385,569,351,1058,10181,49,474,1430,136,503,336,754,836
2021-01-01,488,5353,686,593,702,507,252,889,5159,47,264,974,189,202,106,363,411
2021-02-01,169,3747,172,236,301,315,93,466,4079,30,76,618,110,152,48,428,182
2021-03-01,466,5029,777,250,125,304,96,583,3794,44,141,627,54,260,55,187,434
2021-04-01,354,5617,955,606,200,424,444,1244,5807,87,725,607,140,485,82,402,438
2021-05-01,501,4884,784,582,396,565,348,619,6077,123,699,533,410,289,323,505,315
2021-06-01,374,4978,548,257,132,682,573,553,6072,80,246,569,185,139,234,266,363
2021-07-01,934,11720,1956,507,462,1071,1538,1985,14363,176,382,2293,387,403,468,1142,544
2021-08-01,967,15297,2777,1644,654,1977,1458,3180,14999,257,969,2767,565,821,870,1990,1302
2021-09-01,977,19045,1480,1223,936,1853,1338,1335,21127,246,990,3974,484,927,273,2196,1192
2021-10-01,762,18331,1548,1386,382,1643,547,1190,19095,126,256,3571,459,672,225,1467,1556
2021-11-01,1440,25011,2007,1559,914,1816,1023,2343,34661,195,219,5245,876,1145,604,2329,945
2021-12-01,3766,52872,5661,4047,1741,4166,3695,8820,70877,582,1233,12102,1659,3236,934,5166,2653
2022-01-01,3575,72703,7617,6458,6982,9937,4475,9357,51989,844,2163,14927,4950,5370,784,6870,3783
2022-02-01,44901,681234,112330,76391,63225,98483,61745,158075,498495,14739,40568,170140,49134,61945,24263,77857,53197
2022-03-01,273256,2696470,643621,395948,281730,392298,265191,697919,1982680,75737,217277,594659,311431,317844,134557,375411,302454
2022-04-01,146314,1082456,248148,220034,142872,185253,137002,160875,722213,37197,87887,215795,184880,166685,58112,195221,150812
2022-05-01,34054,204343,55990,61152,28694,48894,29340,40830,135163,7722,22767,39623,37349,36426,12560,39307,31545
2022-06-01,10701,61864,15316,16748,6105,14679,7005,14133,49091,2220,8102,11276,8287,7934,4145,10027,7802
2022-07-01,41384,388122,75462,60698,33620,49661,39916,81794,311555,10985,38341,75977,34859,43935,30800,55686,42555
2022-08-01,111505,870183,221631,185147,115973,174460,113435,210566,583045,28963,82155,178134,136795,134889,51117,152904,118119
2022-09-01,48205,409687,94535,83722,43521,82604,47603,73921,269968,13503,26348,90100,49724,55505,12741,66590,53556
2022-10-01,28704,227133,39301,43326,18211,37098,23115,37254,159698,6612,15036,48311,19744,23181,5428,29914,25425
2022-11-01,52116,440644,77487,76720,40845,68600,50067,80888,306495,13066,28356,92174,40271,47877,9611,64109,50996
2022-12-01,52714,545905,120859,85048,59248,83723,57429,125922,366106,16466,42309,118526,64013,61656,17198,81762,60580
2023-01-01,28995,296519,74991,52198,29495,47663,32025,77115,201310,8923,27921,68382,38708,37528,13980,47595,33411
2023-02-01,8686,81287,24247,19282,10253,18038,8558,23775,59929,2491,8381,17408,12272,12599,5677,13283,10898
2023-03-01,7628,86394,14505,15374,8596,12340,10001,13007,64597,3186,4124,16949,9133,12490,5860,12159,10448
2023-04-01,9056,103728,12499,11680,11159,10688,10615,10690,89266,3299,3077,23431,12222,12121,4091,14519,10686
2023-05-01,14456,148936,26036,18185,15003,18509,15839,27172,127315,3931,8346,31187,17486,16516,7731,20107,16093
2023-06-01,12002,123445,33173,21161,16142,23624,13030,43735,109613,3716,12335,26736,15041,14349,11471,16544,12399
2023-07-01,25734,218452,74589,49690,33694,49769,29999,92765,184166,6380,27491,43600,40179,31739,21084,33818,26383
2023-08-01,39436,340716,82957,66912,45087,66951,44631,87725,253427,11291,28264,77821,49882,57746,15674,58971,42819
