날짜,지역,차수,연령대,지표,값
2021-02-26,강원,1차,12-64세,건수,760.0
2021-02-26,강원,1차,12-64세,접종률,0.07555265274310806
2021-02-26,강원,1차,5-11세,건수,1.0
2021-02-26,강원,1차,5-11세,접종률,0.0012985832456789644
2021-02-26,강원,1차,65세이상,건수,106.0
2021-02-26,강원,1차,65세이상,접종률,0.028778697248104952
2021-02-26,강원,1차,6개월-4세,건수,0.0
2021-02-26,강원,1차,6개월-4세,접종률,0.0
2021-02-26,강원,2차,12-64세,건수,66.0
2021-02-26,강원,2차,12-64세,접종률,0.006561151422427805
2021-02-26,강원,2차,5-11세,건수,1.0
2021-02-26,강원,2차,5-11세,접종률,0.0012985832456789644
2021-02-26,강원,2차,65세이상,건수,23.0
2021-02-26,강원,2차,65세이상,접종률,0.006244434308551074
2021-02-26,강원,2차,6개월-4세,건수,0.0
2021-02-26,강원,2차,6개월-4세,접종률,0.0
2021-02-26,강원,3차,12-64세,건수,0.0
2021-02-26,강원,3차,12-64세,접종률,0.0
2021-02-26,강원,3차,5-11세,건수,0.0
2021-02-26,강원,3차,5-11세,접종률,0.0
2021-02-26,강원,3차,65세이상,건수,0.0
2021-02-26,강원,3차,65세이상,접종률,0.0
2021-02-26,강원,3차,6개월-4세,건수,0.0
2021-02-26,강원,3차,6개월-4세,접종률,0.0
2021-02-26,경기,1차,12-64세,건수,5510.0
2021-02-26,경기,1차,12-64세,접종률,0.05517708238409058
2021-02-26,경기,1차,5-11세,건수,3.0
2021-02-26,경기,1차,5-11세,접종률,0.0003524220794782274
2021-02-26,경기,1차,65세이상,건수,1074.0
2021-02-26,경기,1차,65세이상,접종률,0.05039085757826418
2021-02-26,경기,1차,6개월-4세,건수,0.0
2021-02-26,경기,1차,6개월-4세,접종률,0.0
2021-02-26,경기,2차,12-64세,건수,1479.0
2021-02-26,경기,2차,12-64세,접종률,0.014810690534676943
2021-02-26,경기,2차,5-11세,건수,1.0
2021-02-26,경기,2차,5-11세,접종률,0.00011747402649274246
2021-02-26,경기,2차,65세이상,건수,375.0
2021-02-26,경기,2차,65세이상,접종률,0.01759457317676822
2021-02-26,경기,2차,6개월-4세,건수,0.0
2021-02-26,경기,2차,6개월-4세,접종률,0.0
2021-02-26,경기,3차,12-64세,건수,0.0
2021-02-26,경기,3차,12-64세,접종률,0.0
2021-02-26,경기,3차,5-11세,건수,0.0
2021-02-26,경기,3차,5-11세,접종률,0.0
2021-02-26,경기,3차,65세이상,건수,0.0
2021-02-26,경기,3차,65세이상,접종률,0.0
2021-02-26,경기,3차,6개월-4세,건수,0.0
2021-02-26,경기,3차,6개월-4세,접종률,0.0
2021-02-26,경남,1차,12-64세,건수,1164.0
2021-02-26,경남,1차,12-64세,접종률,0.05024288376887238
2021-02-26,경남,1차,5-11세,건수,0.0
2021-02-26,경남,1차,5-11세,접종률,0.0
2021-02-26,경남,1차,65세이상,건수,104.0
2021-02-26,경남,1차,65세이상,접종률,0.015425483789151435
2021-02-26,경남,1차,6개월-4세,건수,0.0
2021-02-26,경남,1차,6개월-4세,접종률,0.0
2021-02-26,경남,2차,12-64세,건수,127.0
